"filename", "language", "YAML", "Dart", "Markdown", "JSON", "C++", "XML", "Swift", "Groovy", "HTML", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Star Icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Success.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Trash.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\User.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\User_Icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\arrow_right.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\facebook-2.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\gallary.svg", "XML", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 1, 84
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\google-icon.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\receipt.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\remove.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\twitter.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\admin\screens\add_product.dart", "Dart", 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 9, 276
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\constants\color.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\constants\loading.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 48
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\constants\sizeConfigure.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 31
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\imp_fucntion.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\main.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\cart\cartBody.dart", "Dart", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 175
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\cart\cartPage.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\createAccount\backgroundCreateAccount.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 113
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\createAccount\createAccount.dart", "Dart", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 285
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\body.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 31
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\categories.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\caterory.dart", "Dart", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 184
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\coustom_bottom_nav_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 3, 68
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\discount_banner.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 41
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\lib\screens\home\components\home_header.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 56
